"soil_moist";"Clay";"WHC";"Magnesium";"Calcium";"bulk_density";"MWD";"C_tot_mg";"N_tot_mg";"P_tot_mg";"pH";"bact16S";"fungITS";"Lat";"Long";"temp";"precip";"bact_sobs";"bact_shan";"bact_pielou";"cerco_sobs";"cerco_shan";"cerco_pielou";"fung_sobs";"fung_shan";"fung_pielou";"beta_b.bray";"beta_f.bray";"beta_c.bray";"mgt_disp"
"090SWIor";0.152542373;25.4;0.624055266;2.91;18.3;0.90488439;2.299475839;25500;2430;1151.03;7.36;1969069.063;88202.17238;47.46021667;8.686316667;8.7;1094;1659;6.69532046546364;0.903068154228017;460;4.91695198418874;0.801952430337187;100;3.27454450194891;0.711058303971521;0.284026460319274;0.438413097674181;0.297652198410568;4.630686198
"091SWIcr";0.281168205;39.7;0.862805784;5.62;28.4;0.835462414;3.643724538;37700;3780;1390.46;7.05;1487997.875;49184.62723;47.31295;8.7141;9.2;1102;1663;6.70061735714684;0.903489132323249;378;4.73845339743508;0.798405707204086;154;3.67848698922886;0.730300099998198;0.322363853699027;0.468329866091406;0.356297466738591;1.187494075
"093SWIor";0.294117647;27.1;0.83613348;0.55;19.7;0.942556645;2.957681111;29000;3080;1348.76;7.17;1184542.875;37995.07961;47.18103333;8.287566667;9;1119;1684;6.75304061712364;0.909019625585841;363;4.89854307444111;0.831049931973653;131;3.38574093113842;0.694482849960886;0.340521893007798;0.51752290412113;0.396318148137846;4.573807352
"094SWIcr";0.136363636;27.4;0.578376651;1.92;16.8;0.794827075;1.391502931;32300;2400;1121.33;7.79;1841123.625;165590.9286;47.545917;8.684194;9.1;1034;1629;6.75974775818454;0.91400787048585;450;4.74255125841962;0.776290565109765;71;2.64028325708374;0.619395153575628;0.350625076850812;0.545215299677472;0.344149701440148;3.765917413
"096SWIor";0.309278351;37.3;0.862880826;0.95;23.1;0.91766798;3.146000018;36600;4000;1139.35;7.2;1478396.563;49120.58509;47.18683333;8.295733333;8.4;1170;1564;6.63022919487743;0.901458526591532;378;4.77465467018971;0.804505440672182;150;3.64197191549546;0.726848333940126;0.35544023794828;0.533162537404111;0.359090608795152;2.494915482
"097SWIcr";0.2;30.6;0.718545496;4.21;21.1;0.760665135;3.208904912;45100;3030;1251.49;7.61;1466096.344;61699.26032;47.514944;8.695778;9.2;1043;1468;6.59997689562816;0.905140986669665;405;4.83424461605059;0.805185800801608;121;3.61232990959154;0.753229290405146;0.364554613990241;0.498827969187314;0.358025797022785;2.855836553
"099SWIor";0.20212766;24.6;0.682604492;0.88;18.3;1.000897407;3.69969877;25000;2610;779.67;6.61;1491967.188;69427.69182;47.37053333;8.069066667;9.1;1028;1720;6.74210671162153;0.904971101106742;454;5.04744230852842;0.825001981031669;146;3.72591432143197;0.747634114057493;0.29267644148848;0.44368825256773;0.298348566106011;NA
"100SWIcr";0.158415842;8.6;0.534215868;0.25;10.2;1.165832143;2.66017882;25600;1240;802.84;7.82;1771599.313;70741.4671;47.16695;8.31425;8.4;1170;1622;6.70225487593196;0.90676205613367;380;4.77551718338819;0.803935943968136;122;3.62661287842516;0.754911946607954;0.358510800486021;0.506641081174292;0.36723898231879;0.99532477
"102SWIor";0.132653061;21.2;0.556984901;0.6;8.9;1.121076809;2.225509157;19700;2000;932.88;6.57;1621511.688;87850.44648;47.39183333;8.197383333;9.2;1037;1700;6.72918781161011;0.904657279962819;492;5.22985618237417;0.84373221585146;132;3.36222024843365;0.6885841985277;0.318630926053826;0.456121529351635;0.290903238520487;2.795333388
"103SWIcr";0.308641975;24.5;0.928315103;1.41;18.2;1.00870649;3.9863343;38500;4120;1502.26;6.7;1218304.313;42163.93231;47.17618333;8.3226;8.4;1170;1433;6.44886828594717;0.887354072577955;384;4.92991229458177;0.828467220306809;110;2.7888501320973;0.593311728816711;0.37831591267169;0.548392857526561;0.359158340937662;NA
"105SWIor";0.182795699;30.8;0.627020478;1.39;16.1;1.231962767;2.284156315;21600;2170;731.58;7.24;1764206.125;73215.38673;47.45466667;8.505983333;9.1;1090;1662;6.63732048917501;0.895026982496763;468;4.93201870210698;0.802154043045428;109;2.98681189287703;0.636663911493559;0.309213085191431;0.443848435824201;0.298635896322188;4.850350329
"106SWIcr";0.157303371;18.4;0.557159305;0.75;10.6;0.981391338;0.830667182;20300;2020;903.36;6.94;1523218.25;93809.70785;47.39145;8.197683333;9.2;1037;1632;6.58457600560566;0.890100876347655;459;5.03420889781746;0.821368519636867;85;3.1331498311715;0.705243254598085;0.297914800077832;0.453136085841292;0.31090916624987;NA
